54	22
53	23
46	23
44	25
43	25
42	26
37	26
34	29
33	29
32	30
31	30
27	34
26	34
18	42
18	43
16	45
16	46
13	49
13	52
11	54
11	55
10	56
10	57
9	58
9	60
8	61
8	67
7	68
7	85
8	86
8	89
9	90
9	91
10	92
10	93
11	94
11	95
13	97
13	100
15	102
15	104
16	105
16	106
21	111
21	112
22	113
23	113
25	115
26	115
29	118
30	118
32	120
33	120
34	121
35	121
36	122
37	122
38	123
39	123
40	124
42	124
44	126
48	126
49	127
55	127
56	128
70	128
71	127
75	127
76	126
77	126
77	125
80	122
82	122
83	121
84	121
85	120
86	120
87	119
88	119
89	118
90	118
93	115
94	115
96	113
97	113
97	112
103	106
103	105
105	103
105	102
107	100
107	99
108	98
108	97
109	96
109	95
110	94
110	93
111	92
111	88
112	87
112	85
113	84
113	76
114	75
114	71
113	70
113	66
112	65
112	64
111	63
111	60
110	59
110	56
108	54
108	53
107	52
107	51
106	50
106	49
105	48
105	47
104	46
104	44
102	44
100	42
100	39
99	38
98	38
97	37
97	36
96	35
95	35
93	33
92	33
90	31
89	31
87	29
86	29
85	28
84	28
83	27
82	27
81	26
80	26
79	25
77	25
76	24
74	24
73	23
68	23
67	22
